definition,word
la violence,die Gewalt
violent(e),gewalttätig
violer qn/qc,vergewaltigen
une (in)justice,die (Un)gerechtigkeit
(in)juste,(Un)gerechtig
le droit,das Recht
avoir le droit de faire qc,"das Recht haben, etw. zu tun"
le chantage,die Erpressung
faire du chantage à qn,jdn erpressen
une menace,eine Drohung
menacer qn,jdm bedrohen
la torture,die Folter
torturer qn,jdn foltern
commettre un crime,ein Verbrechen begehen
un otage,eine Geisel
prendre en otage,als Geisel nehmen
la corruption,die Bestechlichkeit
corruptible,bestechlich
condamner qn à qc,jdn zu etw. verurteilen
la foi,der Glaube
être croyant(e),gläubig sein
la liberté,die Freiheit
la paix,der Friede
paisible,friedlich
le tract,das Flugblatt
un poseur/une poseuse de bombes,ein(e) Bombenleger:in
un(e) islamiste,ein Anhänger des Islam
le combat,der Kampf
un(e) militant(e),ein(e) Aktivist(in)
être militant(e),für etw. kämpfen/aktiv sein
le voile,der Schleier
porter le voile,einen Schleier tragen
être voilé(e),verschleiert sein
le pistolet,die Pistole
le fusil,das Gewehr
tirer,"schiessen, ziehen"
une balle,eine Kugel
un coup de feu,ein Schuss
un incendie,eine Feuersbrunst
(se) mettre à l'abri,(sich) in Sicherheit bringen
la résistance,der Widerstand
résister à,widerstehen
le piège,die Falle
(se faire) piéger,in eine Falle geraten
la victoire,der Sieg
la défaite,die Niederlage
blessé(e),verletzt
la blessure,die Verletzung
dans la clandestinité,im Versteck
clandestin(e),geheim
le juge,der Richter
juger,"richten, beurteilen"
un(e) dirigeant(e),ein(e) Führer:in
radical(e),radikal
la cible,die Zielscheibe
je n'ai pas la moindre idée,ich habe nicht die geringste Idee
se dégrader,"schadhaft werden, sich abnutzen"
flâner,"herumspazieren, flanieren"
se déplacer,sich fortbewegen
impuissant(e),machtlos
puissant(e),mächtig
servir d'exemple,als Beispiel dienen
renforcer qc,etw. verstärken
affaiblir qc,schwächen
il ne t'arrivera rien,es wird dir nichts passieren
les trois quarts de,3/4 von
les remords (m),die Gewissensbisse
avoir des remords,Gewissensbisse haben
"la peine, le chagrin",der Kummer
la joie,die Freude
les dégâts (m),der Schaden
le deuil,die Trauer
être en deuil,trauern
"baisser les bras, abandonner",aufgeben
précipité(e),überstürzt
mériter qc/de faire qc,etw. verdienen
déclencher qc,etw. auslösen
la haine,der Hass
un(e) tel(le),ein(e) solche(r)
le lendemain,der/am Tag danach
la veille,der/am Tag davor
un horaire,"ein Zeitplan, ein Fahrplan"
un emploi du temps,ein Stundenplan
aussi souvent que,so oft wie
retenir les larmes (f),die Tränen zurückhalten
se passer de qn/qc,auf etw./jdn verzichten
se plaire à/chez/en,sich wohl fühlen in/bei
"s'en sortir, se débrouiller","sich durchschlagen, es schaffen"
le départ,"die Abreise, Abfahrt"
une arrivée,Ankunft
obsédé(e) par,besessen von
la contribution,der Beitrag
contribuer à,beitragen zu
devoir qc à qn,jdm etw. schulden
les dettes (f),die Schulden
