definition,word
schlecht bezahlt,badly paid
herausfordernd,challenging
schmutzig,dirty
verantwortungsvoll,responsible
anstrengend,stressful
fahrerlos,driverless
älter,elderly
falten,fold
wahrscheinlich,likely
sich bewerben,apply
der/die Auszubildende,apprentice
der Abschluss,degree
die Aufnahmeprüfung,entrance exam
graduieren,graduate
sich erneut bewerben,reapply
nochmals tun,redo
nochmals lesen,reread
einen Test wiederholen,retake
umschulen,retrain
umschreiben,rewrite
der Schritt,step
der Bonus,bonus
das Mobiltelefon,cellphone
Arrbeitsbeginn an der Stechuhr registrieren,clock on
der Rabatt,discount
die Gleitzeit,flexitime
stundenlang,long hours
die Überstunden,overtime
bezahlter Urlaub,paid holiday
die Teilzeit,part-time
die Gehaltserhöhung,pay rise
die Rente,pension
die Guthaben-Telefonkarte,prepaid phonecard
die Beförderung,promotion
das Gehalt,salary
tippen,typing
städtisch,urban
der Lohn,wage
verfügbar,available
die Geltleistung/Zuschuss,benefit
gewissenhaft,conscientious
kreativ,creative
die Datenbank,database
energiegeladen,energetic
fleissig,hard-working
systematisch,methodical
der/die Referenzgeber/-in,referee
selbstbewusst,self-confident
ethnisch,ethnic
die Expedition,expedition
das Gesundheitswesen,healthcare
idyllisch,idyllic
das Einkommen,income
der Zustrom,influx
jammern,lament
der Lebensstil,lifestyle
abwandern,migrate
sich niederlassen,settle
die Zeitspanne,span
wesentlich,substantial
den Gipfel erklimmen,summit
der Reichtum,wealth
